epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/l1_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/l1_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,70.4716,1.06155,1.31418,1.32031,0.00842,0.21255,0.54072,0.49503,0.45327,0.30331,0.50265,0.51511,0.42629,0.25516,1.46618,1.90554,2.12044,0.0199,0,0.000127794,0.000127794,0.000127794
2,140.087,1.12285,1.51386,1.42438,0.00958,0.24292,0.62893,0.4226,0.50007,0.33277,0.65442,0.42086,0.48825,0.2674,1.42775,1.98312,2.29566,0.01828,0,0.000251056,0.000251056,0.000251056
3,214.289,1.15491,1.58445,1.58726,0.01003,0.25516,0.52044,0.49848,0.42037,0.27339,0.50534,0.47455,0.40038,0.19377,1.60572,2.15526,2.27055,0.02558,0,0.000369236,0.000369236,0.000369236
4,282.884,1.17631,1.58495,1.60644,0.01085,0.25387,0.51633,0.39142,0.39325,0.2613,0.45559,0.37122,0.35993,0.1961,1.6177,2.18787,2.38445,0.02275,0,0.000362131,0.000362131,0.000362131
5,351.642,1.22267,1.57304,1.62042,0.01075,0.26063,0.51913,0.45668,0.4266,0.26727,0.53195,0.4463,0.41879,0.21037,1.5741,2.43555,2.26077,0.02347,0,0.000354508,0.000354508,0.000354508
6,419.964,1.20186,1.51163,1.58872,0.01076,0.23667,0.5353,0.47956,0.44634,0.28073,0.54028,0.48989,0.42328,0.24124,1.59215,2.05952,2.22507,0.02118,0,0.000346885,0.000346885,0.000346885
7,489.212,1.19526,1.52791,1.45651,0.01083,0.24658,0.48717,0.48092,0.41664,0.26707,0.48184,0.42709,0.38033,0.21521,1.57182,2.14367,2.28674,0.0228,0,0.000339262,0.000339262,0.000339262
8,558.008,1.22491,1.49447,1.50249,0.01104,0.24894,0.61476,0.36286,0.45485,0.29026,0.6038,0.36644,0.43646,0.25551,1.62541,1.97398,2.35848,0.02407,0,0.000331639,0.000331639,0.000331639
9,626.273,1.21862,1.58443,1.55113,0.0107,0.24659,0.43289,0.40939,0.43087,0.2779,0.4435,0.42487,0.41387,0.24551,1.55064,2.26806,2.3258,0.02293,0,0.000324016,0.000324016,0.000324016
10,694.729,1.18524,1.50224,1.55613,0.01036,0.24418,0.50767,0.48795,0.40265,0.25947,0.44142,0.47182,0.36832,0.20638,1.6088,2.19804,2.29108,0.02321,0,0.000316393,0.000316393,0.000316393
