epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/l1_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/l1_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,24.8874,1.4022,2.30652,14.0828,0.01165,9.27466,0.87945,0.05,0.05862,0.03492,0.89267,0.0625,0.06806,0.01851,1.32774,1.68434,8.30552,0.00812,0,0.000362283,0.000362283,0.000362283
2,36.734,1.35985,1.55871,4.96783,0.01065,4.20385,0.63388,0.19375,0.37287,0.22485,0.72441,0.13125,0.41532,0.22958,1.34163,1.96345,4.13023,0.00833,0,0.000725363,0.000725363,0.000725363
3,48.1554,1.49526,1.5507,3.22061,0.01234,3.18554,0.74164,0.15,0.15174,0.09042,0.74164,0.15,0.15601,0.06001,1.6143,1.81174,3.42524,0.01007,0,0.00108111,0.00108111,0.00108111
4,59.1759,1.65217,1.54593,2.81093,0.01413,2.10015,0.78501,0.20579,0.49632,0.30826,0.73524,0.19375,0.48623,0.20035,1.57615,1.91745,2.5156,0.00939,0,0.001078,0.001078,0.001078
5,70.8147,1.555,1.48075,2.37409,0.01296,1.14077,0.55926,0.2625,0.33057,0.1454,0.63781,0.11875,0.34462,0.18982,1.53759,2.77469,3.18836,0.00966,0,0.001067,0.001067,0.001067
6,81.8384,1.54219,1.45165,2.27507,0.01323,0.8536,0.67505,0.30489,0.24586,0.15171,0.66779,0.28915,0.25999,0.12785,1.6601,1.94281,2.63963,0.01111,0,0.00105601,0.00105601,0.00105601
7,92.6959,1.54406,1.44919,2.2525,0.01376,0.80949,0.47408,0.41875,0.37228,0.19797,0.47408,0.41875,0.38508,0.23077,1.46816,1.59313,3.44741,0.00936,0,0.00104501,0.00104501,0.00104501
8,103.711,1.53103,1.38853,2.19278,0.01316,0.79026,0.60042,0.33125,0.56082,0.32468,0.72069,0.24375,0.5551,0.24119,1.57551,1.89205,2.61732,0.00955,0,0.00103401,0.00103401,0.00103401
9,115.229,1.48948,1.39448,2.00827,0.01238,0.77879,0.798,0.18125,0.45079,0.24063,0.81847,0.19375,0.46278,0.26942,1.43801,1.73949,2.47095,0.00939,0,0.00102301,0.00102301,0.00102301
10,126.251,1.46993,1.36613,2.00422,0.01216,0.74759,0.62601,0.23125,0.4102,0.22124,0.65711,0.2625,0.43696,0.25459,1.7397,1.54055,2.91764,0.01155,0,0.00101201,0.00101201,0.00101201
11,137.215,1.44837,1.289,1.87658,0.01216,0.79141,0.5966,0.46875,0.50265,0.30754,0.58266,0.45625,0.49107,0.29492,1.67241,1.4101,2.56618,0.01102,0,0.00100101,0.00100101,0.00100101
12,148.686,1.44397,1.28029,1.84485,0.01167,0.73584,0.75772,0.2,0.4767,0.3041,0.77066,0.2125,0.46769,0.22445,1.4727,1.69745,2.30694,0.009,0,0.000990012,0.000990012,0.000990012
13,159.496,1.39297,1.24431,1.88794,0.0118,0.737,0.80243,0.17249,0.68227,0.47334,0.79332,0.16075,0.67188,0.38586,1.49625,1.61173,2.38152,0.00918,0,0.000979013,0.000979013,0.000979013
14,170.932,1.43479,1.30804,1.74903,0.01192,0.72472,0.25914,0.975,0.52687,0.23385,0.25885,0.9625,0.54665,0.1829,1.50572,1.5291,2.34895,0.00999,0,0.000968014,0.000968014,0.000968014
15,181.965,1.36183,1.23109,1.71758,0.01142,0.70914,0.73596,0.4625,0.57914,0.32364,0.73596,0.4625,0.59669,0.30804,1.47923,1.48041,1.97478,0.00979,0,0.000957015,0.000957015,0.000957015
16,192.902,1.3667,1.34436,1.80825,0.011,0.74442,0.66379,0.6819,0.69657,0.5263,0.70072,0.7069,0.71847,0.41061,1.40391,1.56818,2.16222,0.00848,0,0.000946016,0.000946016,0.000946016
17,204.445,1.31434,1.23123,1.6571,0.00995,0.68453,0.31921,0.78307,0.55832,0.40844,0.32525,0.79557,0.57012,0.34009,1.54003,1.3377,1.97245,0.00978,0,0.000935018,0.000935018,0.000935018
18,215.361,1.34631,1.29097,1.62669,0.01042,0.73194,0.64468,0.475,0.71632,0.49663,0.67146,0.5,0.73367,0.39485,1.35973,1.47139,2.04804,0.00835,0,0.000924019,0.000924019,0.000924019
19,226.228,1.39796,1.23365,1.55012,0.01169,0.69459,0.872,0.61875,0.70811,0.45537,0.85307,0.61936,0.74261,0.47646,1.42172,1.27634,2.19671,0.00874,0,0.00091302,0.00091302,0.00091302
20,237.159,1.32984,1.20185,1.55267,0.01045,0.69526,0.67606,0.49375,0.69656,0.47772,0.67606,0.49375,0.69746,0.41923,1.39498,1.34289,2.34565,0.00864,0,0.000902021,0.000902021,0.000902021
21,248.2,1.32815,1.26,1.5462,0.01017,0.67246,0.69104,0.54375,0.58055,0.36868,0.72896,0.56875,0.60274,0.35923,1.38781,1.39968,2.15716,0.00853,0,0.000891022,0.000891022,0.000891022
22,259.124,1.27694,1.24761,1.56463,0.01041,0.70733,0.41889,0.82987,0.5541,0.33925,0.41889,0.82987,0.54571,0.26777,1.50232,1.36111,1.90217,0.00971,0,0.000880023,0.000880023,0.000880023
23,270.003,1.26679,1.16817,1.46096,0.00964,0.65333,0.6893,0.47988,0.5921,0.39257,0.33374,0.72361,0.58151,0.34215,1.31783,1.36112,2.09623,0.00843,0,0.000869024,0.000869024,0.000869024
24,280.972,1.26219,1.18063,1.4428,0.00975,0.65778,0.5231,0.46875,0.61945,0.48872,0.5231,0.46875,0.61763,0.42613,1.42406,1.28697,2.33275,0.00889,0,0.000858025,0.000858025,0.000858025
25,291.988,1.24282,1.18211,1.4513,0.00936,0.64569,0.72774,0.63358,0.73537,0.49905,0.68446,0.62053,0.73193,0.44324,1.54635,1.36489,2.2159,0.00947,0,0.000847026,0.000847026,0.000847026
26,303.362,1.21534,1.12533,1.3889,0.00961,0.62122,0.39453,0.85911,0.59239,0.43434,0.39453,0.85911,0.58808,0.3623,1.42944,1.39803,1.99113,0.00916,0,0.000836027,0.000836027,0.000836027
27,314.218,1.23784,1.15101,1.35604,0.00956,0.62995,0.30418,0.4366,0.45492,0.33576,0.31888,0.55625,0.48596,0.3034,1.23245,1.29618,2.24889,0.00722,0,0.000825029,0.000825029,0.000825029
28,325.193,1.23606,1.14735,1.42582,0.0095,0.63311,0.45451,0.41728,0.49546,0.34105,0.45451,0.41728,0.49375,0.33227,1.40194,1.43528,2.00802,0.00856,0,0.00081403,0.00081403,0.00081403
29,336.083,1.23003,1.17698,1.40265,0.00931,0.6315,0.52582,0.775,0.61552,0.42923,0.50505,0.80625,0.61892,0.37777,1.39661,1.34129,1.80793,0.00862,0,0.000803031,0.000803031,0.000803031
30,347.028,1.19013,1.08967,1.28933,0.00897,0.58156,0.36468,0.68817,0.58816,0.42417,0.36468,0.68817,0.60299,0.40058,1.41406,1.38864,1.86576,0.0088,0,0.000792032,0.000792032,0.000792032
